t_s,device_id,group_id,state,energy_nj,p_in_dbm,P_eh_nw,peh_below_psl,synced_estimate,first_off_time_s,attempts,collisions,n_access_reject,completion_time_s
3.0,62,2,OFF,256.84765625,-35.02214527383181,18.807489551688715,True,True,2.6345,5,4,47,15.966500000000002
3.0,152,2,OFF,257.7248229980469,-35.32945446002216,16.621851446431734,True,True,2.5340000000000003,6,5,44,17.598499999999998
3.0,242,3,OFF,252.98150634765625,-34.25770244597669,25.29517395992985,True,True,2.882,12,10,36,12.810500000000001
